concept,weight
document,0.8435
queri,0.3414
index,0.1714
term,0.1687
search engin,0.1485
idf,0.116
inform,0.1033
collect,0.0914
post,0.0849
inform retriev,0.0756
invert index,0.0663
invert,0.0663
euclidean distanc,0.0561
document collect,0.0561
vector space,0.0452
specif,0.039
type,0.0389
class,0.0388
token,0.0374
term document matrix,0.0374
queri process,0.0374
jaccard coeffici,0.0374
intersect,0.0374
rank,0.0343
tf idf,0.0331
tf,0.0331
post list,0.0331
cosin similar,0.0331
normal,0.0301
measur,0.0301
document frequenc,0.0301
boolean,0.0301
vocabulari,0.0278
weight,0.0259
topic,0.0242
relev,0.0195
vocabulari term,0.0187
term weight,0.0187
stop word,0.0187
short queri,0.0187
search interfac,0.0187
queri oper,0.0187
posit index,0.0187
incid vector,0.0187
document space,0.0187
cosin score,0.0187
cosin measur,0.0187
queri represent,0.0166
invers document frequenc,0.0166
document vector,0.0166
score,0.0151
relev document,0.0151
queri expans,0.0151
encod,0.0151
dot product,0.0151
document rank,0.0151
label,0.0139
metadata,0.0129
key,0.0098
